resp_uid,pair_id,kelompok,usia,lokasi,status_pernikahan,pendidikan_terakhir,anggota_keluarga_bekerja,pendapatan_numerik_B1,pendapatan_numerik_B2,pendapatan_numerik_B3,pendapatan_ordinal_B1,pendapatan_ordinal_B2,pendapatan_ordinal_B3,pendapatan_kategori_B1,pendapatan_kategori_B2,pendapatan_kategori_B3,jumlah_sumber_pendapatan_B1,jumlah_sumber_pendapatan_B2,jumlah_sumber_pendapatan_B3,punya_usaha_B1,punya_usaha_B2,punya_usaha_B3,pengeluaran_pokok_B1,pengeluaran_pokok_B2,pengeluaran_pokok_B3,belanja_makanan_B1,belanja_makanan_B2,belanja_makanan_B3,belanja_kesehatan_B1,belanja_kesehatan_B2,belanja_kesehatan_B3,belanja_pendidikan_B1,belanja_pendidikan_B2,belanja_pendidikan_B3,pscore
Intervensi_19,0,Intervensi,75,Dusun Karang,Duda/Janda,Tidak sekolah,,500000.0,500000.0,500000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,600000.0,,200000.0,600000.0,,200000.0,0.0,,0.0,0.0,,0.0,0.7860513259715528
Kontrol_24,0,Kontrol,37,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.7903289113225456
Intervensi_42,1,Intervensi,65,Dusun Pringgan,Menikah,Tidak sekolah,,,,500000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,720000.0,,870000.0,300000.0,,450000.0,0.0,,0.0,0.0,,0.0,0.9257982754183376
Kontrol_149,1,Kontrol,27,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.8951946479311723
Intervensi_156,2,Intervensi,68,Dusun Melati,Duda/Janda,Tidak sekolah,,,500000.0,500000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,0.0,,700000.0,,,500000.0,0.0,,200000.0,0.0,,0.0,0.8669094701212229
Kontrol_183,2,Kontrol,30,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.869838115609072
Intervensi_111,3,Intervensi,73,Dusun Melati,Duda/Janda,Tidak sekolah,,,363000.0,500000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,300000.0,,300000.0,300000.0,,300000.0,0.0,,0.0,0.0,,0.0,0.8122796594775683
Kontrol_11,3,Kontrol,59,,Menikah,SD,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.7809082892598573
Intervensi_148,4,Intervensi,51,Dusun Melati,Duda/Janda,SD,1.0,,,500000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Ya,Ya,Ya,1500000.0,,1550000.0,1500000.0,,1500000.0,0.0,,0.0,0.0,,0.0,0.8206611444394465
Kontrol_138,4,Kontrol,32,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.8501684369856997
